timestamp_ms,mac,rssi,location
etimestamp,mac,rssi,bijuOffice
172138,00:27:E3:29:CD:E0,-77,bijuOffice
172138,00:A3:8E:60:EB:E1,-77,bijuOffice
172138,70:EA:1A:22:A9:41,-86,bijuOffice
172138,08:4F:A9:2D:77:41,-86,bijuOffice
172138,70:EA:1A:22:9B:81,-86,bijuOffice
176950,00:A3:8E:67:4C:81,-69,bijuOffice
176950,00:A3:8E:60:EB:E1,-79,bijuOffice
176950,00:27:E3:29:CD:E0,-80,bijuOffice
176950,70:EA:1A:22:A9:41,-85,bijuOffice
176950,08:4F:A9:2D:77:41,-85,bijuOffice
181753,00:A3:8E:67:4C:81,-62,bijuOffice
181753,00:A3:8E:60:EB:E1,-74,bijuOffice
181753,00:27:E3:29:CD:E0,-75,bijuOffice
181753,08:4F:A9:2D:77:41,-83,bijuOffice
181753,70:EA:1A:22:A9:41,-87,bijuOffice
186556,00:A3:8E:67:4C:81,-63,bijuOffice
186556,00:27:E3:29:CD:E0,-76,bijuOffice
186556,00:A3:8E:60:EB:E1,-79,bijuOffice
186556,08:4F:A9:2D:77:41,-85,bijuOffice
191359,00:A3:8E:67:4C:81,-69,bijuOffice
191359,00:27:E3:29:CD:E0,-78,bijuOffice
191359,00:A3:8E:60:EB:E1,-78,bijuOffice
191359,08:4F:A9:2D:77:41,-86,bijuOffice
191359,70:EA:1A:22:A9:41,-86,bijuOffice
196162,00:A3:8E:67:4C:81,-65,bijuOffice
196162,00:A3:8E:60:EB:E1,-77,bijuOffice
196162,00:27:E3:29:CD:E0,-80,bijuOffice
196162,70:EA:1A:22:A9:41,-85,bijuOffice
196162,08:4F:A9:2D:77:41,-86,bijuOffice
200965,00:A3:8E:67:4C:81,-67,bijuOffice
200965,00:A3:8E:60:EB:E1,-73,bijuOffice
200965,08:4F:A9:2D:77:41,-81,bijuOffice
200965,70:EA:1A:22:A9:41,-83,bijuOffice
200965,00:27:E3:29:CD:E0,-84,bijuOffice
200965,00:27:E3:29:E8:80,-87,bijuOffice
205778,00:A3:8E:67:4C:81,-66,bijuOffice
205778,00:27:E3:29:CD:E0,-82,bijuOffice
205778,00:A3:8E:60:EB:E1,-82,bijuOffice
205778,70:EA:1A:22:A9:41,-85,bijuOffice
205778,08:4F:A9:2D:77:41,-87,bijuOffice
210581,00:A3:8E:60:EB:E1,-58,bijuOffice
210581,00:A3:8E:67:4C:81,-65,bijuOffice
210581,00:27:E3:29:CD:E0,-73,bijuOffice
210581,08:4F:A9:2D:77:41,-86,bijuOffice
215384,00:A3:8E:60:EB:E1,-41,bijuOffice
215384,00:27:E3:29:CD:E0,-68,bijuOffice
215384,00:A3:8E:60:F3:80,-81,bijuOffice
215384,00:A3:8E:67:4C:81,-82,bijuOffice
215384,70:EA:1A:22:A9:41,-87,bijuOffice
220187,00:A3:8E:60:EB:E1,-39,bijuOffice
220187,00:27:E3:29:CD:E0,-67,bijuOffice
220187,00:A3:8E:60:F3:80,-75,bijuOffice
220187,00:A3:8E:67:4C:81,-83,bijuOffice
220187,00:27:E3:29:D1:20,-84,bijuOffice
224990,00:A3:8E:60:EB:E1,-42,bijuOffice
224990,00:A3:8E:60:F3:80,-71,bijuOffice
224990,00:27:E3:29:CD:E0,-73,bijuOffice
224990,00:A3:8E:67:4C:81,-86,bijuOffice
229793,00:A3:8E:60:EB:E1,-41,bijuOffice
229793,00:27:E3:29:CD:E0,-73,bijuOffice
229793,00:A3:8E:60:F3:80,-75,bijuOffice
229793,00:27:E3:29:D1:20,-86,bijuOffice
229793,00:A3:8E:67:4C:81,-87,bijuOffice
234596,00:A3:8E:60:EB:E1,-42,bijuOffice
234596,00:27:E3:29:CD:E0,-73,bijuOffice
234596,00:A3:8E:60:F3:80,-75,bijuOffice
234596,00:A3:8E:67:4C:81,-86,bijuOffice
234596,00:27:E3:29:D1:20,-87,bijuOffice
239399,00:A3:8E:60:EB:E1,-43,bijuOffice
239399,00:27:E3:29:CD:E0,-68,bijuOffice
239399,00:A3:8E:60:F3:80,-73,bijuOffice
239399,00:27:E3:29:D1:20,-88,bijuOffice
239399,00:A3:8E:67:4C:81,-89,bijuOffice
244202,00:A3:8E:60:EB:E1,-46,bijuOffice
244202,00:27:E3:29:CD:E0,-69,bijuOffice
244202,00:A3:8E:60:F3:80,-70,bijuOffice
248995,00:A3:8E:60:EB:E1,-42,bijuOffice
248995,00:27:E3:29:CD:E0,-73,bijuOffice
248995,00:A3:8E:60:F3:80,-76,bijuOffice
248995,00:27:E3:29:D1:20,-84,bijuOffice
248995,00:A3:8E:67:4C:81,-85,bijuOffice
253798,00:A3:8E:60:EB:E1,-43,bijuOffice
253798,00:27:E3:29:CD:E0,-69,bijuOffice
253798,00:A3:8E:60:F3:80,-72,bijuOffice
253798,00:A3:8E:67:4C:81,-90,bijuOffice
258601,00:A3:8E:60:EB:E1,-62,bijuOffice
258601,00:27:E3:29:CD:E0,-67,bijuOffice
258601,00:A3:8E:60:F3:80,-80,bijuOffice
258601,00:A3:8E:67:4C:81,-81,bijuOffice
258601,0C:75:BD:12:BF:A0,-87,bijuOffice
263404,00:27:E3:29:CD:E0,-63,bijuOffice
263404,00:A3:8E:60:EB:E1,-64,bijuOffice
263404,00:A3:8E:67:4C:81,-75,bijuOffice
263404,70:EA:1A:22:A9:41,-87,bijuOffice
268207,00:A3:8E:60:EB:E1,-69,bijuOffice
268207,00:27:E3:29:CD:E0,-71,bijuOffice
268207,00:A3:8E:67:4C:81,-73,bijuOffice
268207,70:EA:1A:22:A9:41,-86,bijuOffice
268207,00:27:E3:29:E8:80,-87,bijuOffice
