,00:27:E3:29:CD:E0,00:27:E3:29:CE:40,00:27:E3:29:D1:20,00:27:E3:29:D2:A0,00:27:E3:29:D2:E0,00:27:E3:29:D4:A0,00:27:E3:29:D8:E0,00:27:E3:29:DB:E0,00:27:E3:29:DC:00,00:27:E3:29:E8:80,00:A3:8E:4E:29:A1,00:A3:8E:5C:48:60,00:A3:8E:60:EB:E1,00:A3:8E:60:F3:80,00:A3:8E:65:44:00,00:A3:8E:65:48:01,00:A3:8E:67:4C:81,08:4F:A9:10:4B:81,08:4F:A9:2D:77:41,08:4F:A9:2D:8A:41,08:4F:A9:2D:8A:A1,08:4F:A9:30:00:01,08:4F:A9:39:68:21,08:4F:A9:39:6A:41,0C:75:BD:12:BF:A0,40:01:7A:01:B3:82,40:01:7A:01:B8:82,40:01:7A:AF:D3:62,40:01:7A:B1:00:42,40:01:7A:C6:A5:62,40:01:7A:CA:3F:A2,4C:77:6D:10:31:E1,70:EA:1A:22:8F:E1,70:EA:1A:22:96:21,70:EA:1A:22:96:A1,70:EA:1A:22:9B:81,70:EA:1A:22:9F:21,70:EA:1A:22:9F:E1,70:EA:1A:22:A5:A1,70:EA:1A:22:A9:41,70:EA:1A:22:A9:A1,70:EA:1A:65:2E:A1,CC:DB:93:65:2D:20
d151d153_000213,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-90.0,-105.0,-82.5,-86.0,-85.5,-86.0,-90.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-77.5,-72.0,-74.5,-86.0,-105.0,-90.0,-71.0,-105.0,-105.0,-105.0
d151d153_000218,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-85.0,-85.0,-84.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-80.0,-74.0,-72.0,-89.0,-105.0,-105.0,-71.0,-105.0,-105.0,-105.0
d151d153_000223,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-86.0,-86.0,-87.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-79.0,-64.0,-68.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0
d151d153_000228,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-84.0,-88.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-76.0,-65.0,-70.0,-105.0,-105.0,-105.0,-71.0,-105.0,-105.0,-105.0
d151d153_000233,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-81.0,-67.0,-75.0,-105.0,-105.0,-105.0,-70.0,-105.0,-105.0,-105.0
d151d153_000238,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-87.0,-81.0,-84.0,-84.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-74.0,-68.0,-81.0,-88.0,-105.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000243,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-81.0,-105.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-67.0,-77.0,-87.0,-105.0,-88.0,-68.0,-105.0,-105.0,-105.0
d151d153_000248,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-87.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-73.0,-67.0,-74.0,-88.0,-105.0,-105.0,-70.0,-105.0,-105.0,-105.0
d151d153_000253,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-76.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-90.0,-105.0,-85.0,-105.0,-85.0,-87.0,-89.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-80.0,-69.0,-74.0,-85.0,-105.0,-105.0,-72.0,-105.0,-105.0,-105.0
d151d153_000258,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-76.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-82.0,-85.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-75.0,-67.0,-77.0,-105.0,-105.0,-105.0,-68.0,-105.0,-105.0,-105.0
d151d153_000303,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-90.0,-87.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-76.0,-73.0,-73.0,-105.0,-105.0,-85.0,-68.0,-105.0,-105.0,-105.0
d151d153_000308,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-85.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-74.0,-66.0,-71.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0
d151d153_000313,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-84.0,-105.0,-105.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-75.0,-65.0,-69.0,-105.0,-105.0,-105.0,-73.0,-105.0,-105.0,-105.0
d151d153_000318,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-73.0,-70.0,-66.0,-89.0,-105.0,-105.0,-70.0,-105.0,-105.0,-105.0
d151d153_000323,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-105.0,-85.0,-105.0,-90.0,-88.0,-89.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-69.0,-70.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0
d151d153_000328,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-75.0,-68.0,-105.0,-105.0,-89.0,-70.0,-105.0,-105.0,-105.0
d151d153_000333,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-84.0,-83.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-81.0,-68.0,-73.0,-87.0,-105.0,-88.0,-72.0,-105.0,-105.0,-105.0
d151d153_000338,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-85.0,-69.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-105.0,-105.0,-73.0,-74.0,-105.0,-105.0,-105.0,-68.0,-105.0,-105.0,-105.0
d151d153_000343,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-105.0,-80.0,-105.0,-80.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-105.0,-72.0,-105.0,-87.0,-105.0,-68.0,-105.0,-105.0,-105.0
d151d153_000348,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-76.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-105.0,-105.0,-105.0,-72.0,-105.0,-105.0,-105.0,-71.0,-105.0,-105.0,-105.0
d151d153_000353,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-83.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-105.0,-74.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-105.0,-85.0,-105.0,-74.0,-105.0,-105.0,-105.0
d151d153_000358,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-85.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-105.0,-105.0,-105.0,-69.0,-105.0,-105.0,-105.0
d151d153_000403,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-84.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-76.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-105.0,-86.0,-105.0,-65.0,-105.0,-105.0,-105.0
d151d153_000408,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-86.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-90.0,-83.0,-105.0,-65.0,-105.0,-105.0,-105.0
d151d153_000413,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-70.0,-105.0,-85.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000418,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-86.0,-87.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-74.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-73.0,-105.0,-86.0,-105.0,-66.0,-105.0,-105.0,-105.0
d151d153_000423,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-82.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-86.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-105.0,-86.0,-105.0,-70.0,-105.0,-105.0,-105.0
d151d153_000428,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-83.0,-79.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-105.0,-105.0,-75.0,-105.0,-87.0,-105.0,-72.0,-105.0,-105.0,-105.0
d151d153_000433,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-89.0,-105.0,-82.0,-83.0,-79.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-89.0,-78.0,-105.0,-77.0,-105.0,-74.0,-105.0,-105.0,-105.0
d151d153_000438,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-81.0,-73.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-84.0,-105.0,-105.0,-74.0,-105.0,-79.0,-86.0,-65.0,-105.0,-105.0,-105.0
d151d153_000443,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-82.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-85.0,-79.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-83.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000448,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-80.0,-84.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-105.0,-74.0,-105.0,-79.0,-89.0,-67.0,-105.0,-105.0,-105.0
d151d153_000453,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-105.0,-80.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-105.0,-80.0,-88.0,-69.0,-105.0,-105.0,-105.0
d151d153_000458,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-79.0,-81.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-87.0,-73.0,-105.0,-79.0,-105.0,-68.0,-105.0,-105.0,-105.0
d151d153_000503,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-82.0,-81.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-105.0,-72.0,-105.0,-80.0,-105.0,-65.0,-105.0,-105.0,-105.0
d151d153_000508,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-81.0,-84.0,-72.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-88.0,-105.0,-105.0,-74.0,-105.0,-80.0,-105.0,-68.0,-105.0,-105.0,-105.0
d151d153_000513,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-79.0,-83.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-105.0,-78.0,-105.0,-77.0,-105.0,-64.0,-105.0,-105.0,-105.0
d151d153_000518,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-105.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-80.0,-79.0,-71.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-85.0,-105.0,-105.0,-80.0,-105.0,-78.0,-105.0,-65.0,-105.0,-105.0,-105.0
d151d153_000523,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-82.0,-85.0,-77.0,-89.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-86.0,-82.0,-77.0,-81.0,-88.0,-88.0,-88.0,-64.0,-105.0,-105.0,-105.0
d151d153_000528,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-72.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-70.0,-80.0,-85.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-77.0,-87.0,-78.0,-83.0,-83.0,-105.0,-85.0,-65.0,-105.0,-105.0,-105.0
d151d153_000533,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-79.0,-105.0,-75.0,-69.0,-105.0,-88.0,-105.0,-105.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-76.0,-77.0,-84.0,-105.0,-78.0,-105.0,-85.0,-73.0,-86.0,-105.0,-105.0
d151d153_000538,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-105.0,-75.0,-71.0,-105.0,-83.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-77.0,-86.0,-105.0,-80.0,-105.0,-86.0,-68.0,-85.0,-105.0,-105.0
d151d153_000543,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-75.0,-70.0,-105.0,-84.0,-105.0,-105.0,-90.0,-105.0,-105.0,-86.0,-105.0,-105.0,-105.0,-72.0,-78.0,-86.0,-105.0,-82.0,-105.0,-85.0,-66.0,-84.0,-105.0,-105.0
d151d153_000548,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-73.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-80.0,-74.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-87.0,-105.0,-105.0,-105.0,-87.0,-74.0,-83.0,-84.0,-105.0,-78.0,-105.0,-83.0,-70.0,-88.0,-105.0,-105.0
d151d153_000553,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-76.5,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-78.5,-69.5,-105.0,-85.0,-105.0,-105.0,-105.0,-105.0,-105.0,-89.0,-105.0,-105.0,-105.0,-77.5,-78.0,-80.0,-105.0,-78.5,-105.0,-83.5,-66.5,-86.0,-105.0,-105.0
d151d153_000558,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-81.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-105.0,-86.0,-70.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-83.0,-83.0,-105.0,-78.0,-105.0,-83.0,-66.0,-105.0,-105.0,-105.0
d151d153_000603,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-78.0,-72.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-85.0,-105.0,-105.0,-105.0,-76.0,-84.0,-84.0,-105.0,-82.0,-105.0,-85.0,-66.0,-86.0,-105.0,-105.0
d151d153_000608,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-84.0,-105.0,-80.0,-72.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-77.0,-84.0,-105.0,-80.0,-105.0,-85.0,-69.0,-84.0,-105.0,-105.0
d151d153_000613,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-105.0,-75.0,-69.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-90.0,-105.0,-105.0,-105.0,-105.0,-76.0,-105.0,-83.0,-105.0,-79.0,-105.0,-83.0,-66.0,-89.0,-105.0,-105.0
d151d153_000618,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-80.0,-72.0,-105.0,-105.0,-105.0,-105.0,-89.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-78.0,-82.0,-85.0,-105.0,-78.0,-105.0,-87.0,-68.0,-87.0,-105.0,-105.0
d151d153_000623,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-83.0,-72.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-105.0,-87.0,-105.0,-105.0,-105.0,-76.0,-82.0,-105.0,-105.0,-75.0,-105.0,-84.0,-67.0,-85.0,-105.0,-105.0
d151d153_000628,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-77.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-80.0,-105.0,-82.0,-69.0,-105.0,-105.0,-105.0,-105.0,-88.0,-105.0,-105.0,-89.0,-105.0,-105.0,-105.0,-79.0,-79.0,-85.0,-105.0,-78.0,-105.0,-83.0,-68.0,-105.0,-105.0,-105.0
d151d153_000633,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-75.0,-76.0,-86.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-80.0,-84.0,-105.0,-87.0,-105.0,-105.0,-66.0,-105.0,-105.0,-105.0
d151d153_000638,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-76.0,-78.0,-88.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-77.0,-105.0,-105.0,-83.0,-105.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000643,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-88.0,-105.0,-81.0,-75.0,-88.0,-91.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-78.0,-84.0,-105.0,-87.0,-105.0,-90.0,-69.0,-105.0,-105.0,-105.0
d151d153_000648,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-74.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-81.0,-80.0,-87.0,-90.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-74.0,-87.0,-105.0,-81.0,-105.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000653,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-75.0,-105.0,-105.0,-105.0,-105.0,-105.0,-86.0,-105.0,-105.0,-76.0,-86.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-74.0,-86.0,-105.0,-86.0,-105.0,-105.0,-67.0,-105.0,-105.0,-105.0
d151d153_000658,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-105.0,-80.0,-79.0,-90.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-82.0,-77.0,-83.0,-105.0,-85.0,-105.0,-89.0,-68.0,-105.0,-105.0,-105.0
d151d153_000703,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-79.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-88.0,-105.0,-81.0,-85.0,-89.0,-89.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-83.0,-74.0,-87.0,-105.0,-87.0,-105.0,-105.0,-71.0,-105.0,-105.0,-105.0
