"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.042252220E-1,-4.752490520E-1,4.195838451E0,9.100958824E0,1.003286467E1
4.067385560E-1,-3.746925592E-1,4.171896458E0,9.081805229E0,1.000121497E1
4.092518890E-1,-3.076549172E-1,4.162319660E0,9.067440033E0,9.981884855E0
4.117652220E-1,-2.549824715E-1,4.104858875E0,9.005190849E0,9.899916398E0
4.142785560E-1,-2.166752517E-1,4.013879299E0,8.890269279E0,9.756795737E0
4.167918890E-1,-1.783680320E-1,3.961206675E0,8.756194115E0,9.612175032E0
4.193052220E-1,-1.304839998E-1,3.875015497E0,8.660426140E0,9.488717095E0
4.218185560E-1,-7.781155407E-2,3.812766314E0,8.550292969E0,9.362198003E0
4.243318890E-1,-3.471592441E-2,3.755305290E0,8.425794601E0,9.224832664E0
4.268452220E-1,-2.035071515E-2,3.721786499E0,8.301296234E0,9.097451735E0
4.293585560E-1,-2.035071515E-2,3.702632904E0,8.172008514E0,8.971712642E0
4.318718890E-1,2.274491638E-2,3.688267708E0,8.057086945E0,8.861178593E0
4.343852220E-1,1.328781992E-1,3.544615507E0,7.908646584E0,8.667678264E0
4.368985560E-1,3.004723191E-1,3.238157749E0,7.736264229E0,8.392004137E0
4.394118890E-1,3.339911401E-1,3.147178173E0,7.606977463E0,8.239076808E0
4.419252220E-1,3.962403834E-1,3.075352192E0,7.386710644E0,8.011135480E0
4.444386080E-1,4.537012279E-1,3.027467966E0,7.223905087E0,7.845776685E0
4.469520450E-1,4.776432514E-1,2.946065187E0,7.132925510E0,7.732145207E0
4.494655350E-1,5.111620426E-1,2.831143618E0,6.979696274E0,7.549358972E0
4.519790760E-1,4.872200489E-1,2.855085611E0,7.022792339E0,7.596611710E0
4.544926180E-1,4.441244006E-1,2.907757998E0,7.142502308E0,7.724483301E0
4.570062120E-1,4.058171809E-1,2.989160776E0,7.286154270E0,7.885925043E0
4.595198580E-1,3.531447649E-1,3.037044764E0,7.381922245E0,7.990064340E0
