"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.599535410E-1,-1.825578809E0,2.414552450E0,9.694721222E0,1.015629958E1
4.624665620E-1,-1.739387512E0,2.452859640E0,9.531915665E0,9.994969013E0
4.649795830E-1,-1.677138329E0,2.500743628E0,9.321226120E0,9.795497335E0
4.674926040E-1,-1.614889026E0,2.553416014E0,9.129689217E0,9.616601536E0
4.700056250E-1,-1.571793437E0,2.567781210E0,8.952518463E0,9.445190405E0
4.725186460E-1,-1.562216640E0,2.606088638E0,8.784924507E0,9.295542879E0
4.750316660E-1,-1.552639842E0,2.610877037E0,8.583811760E0,9.105448573E0
4.775445830E-1,-1.590947032E0,2.620453835E0,8.377910614E0,8.921170159E0
4.800575000E-1,-1.653196216E0,2.601300240E0,8.176796913E0,8.738411093E0
4.825704160E-1,-1.715445518E0,2.596511841E0,8.042721748E0,8.623804276E0
4.850833330E-1,-1.835155606E0,2.529474020E0,7.951742172E0,8.543783617E0
4.875962500E-1,-1.950077295E0,2.452859640E0,7.808090210E0,8.413417534E0
4.901091660E-1,-2.074575663E0,2.414552450E0,7.635707855E0,8.272723987E0
4.926220830E-1,-2.132036686E0,2.409764051E0,7.496844292E0,8.158138118E0
4.951350000E-1,-2.093729496E0,2.376245260E0,7.448959827E0,8.094272497E0
4.976477600E-1,-1.997961283E0,2.371456861E0,7.463325024E0,8.081885754E0
5.001605210E-1,-1.883039594E0,2.342726469E0,7.530363083E0,8.108056091E0
5.026732810E-1,-1.772906303E0,2.246958256E0,7.645284653E0,8.163479380E0
5.051860410E-1,-1.681926727E0,2.170343876E0,7.760206223E0,8.231650544E0
5.076983330E-1,-1.619677424E0,2.069787264E0,7.822455406E0,8.252162314E0
5.102106250E-1,-1.581370234E0,1.926135302E0,7.870339394E0,8.255481282E0
5.127229160E-1,-1.567005038E0,1.873462796E0,7.846397400E0,8.217744204E0
5.152352600E-1,-1.509544134E0,1.954865694E0,7.793725014E0,8.175718498E0
5.177476560E-1,-1.490390539E0,1.796848416E0,7.860762596E0,8.200092486E0
5.202601560E-1,-1.528697729E0,1.600523829E0,7.970896244E0,8.272471227E0
5.227727600E-1,-1.528697729E0,1.514332533E0,8.013991356E0,8.297841721E0
5.252854680E-1,-1.509544134E0,1.586158633E0,8.018779755E0,8.312367380E0
5.277982810E-1,-1.476025343E0,1.653196216E0,8.090605736E0,8.388659590E0
5.303111980E-1,-1.456871748E0,1.519120932E0,8.320449829E0,8.582545605E0
5.328241660E-1,-1.485602140E0,1.432929754E0,8.564658165E0,8.809862138E0
5.353371870E-1,-1.504755735E0,1.418564558E0,8.808866501E0,9.048355887E0
5.378502600E-1,-1.581370234E0,1.471236944E0,9.115324020E0,9.367731954E0
5.403633330E-1,-1.662773132E0,1.590947032E0,9.460089684E0,9.735975748E0
5.428764060E-1,-1.705868721E0,1.523909330E0,9.895833969E0,1.015676217E1
5.453894270E-1,-1.729810715E0,1.490390539E0,1.022623444E1,1.047804275E1
5.479022910E-1,-1.725022316E0,1.499967337E0,1.033636761E1,1.058612768E1
5.504149480E-1,-1.691503525E0,1.552639842E0,1.036988640E1,1.062103661E1
5.529276040E-1,-1.638831019E0,1.638831019E0,1.036509800E1,1.062105413E1
5.554402600E-1,-1.576581836E0,1.725022316E0,1.042734718E1,1.068601336E1
5.579529160E-1,-1.528697729E0,1.825578809E0,1.057099915E1,1.083585150E1
5.604654160E-1,-1.485602140E0,1.878251195E0,1.073859310E1,1.100237352E1
5.629779160E-1,-1.466448545E0,1.950077295E0,1.088224506E1,1.115242263E1
5.654904160E-1,-1.452083349E0,2.021903276E0,1.095885944E1,1.123802648E1
5.680029160E-1,-1.432929754E0,2.103306293E0,1.094928265E1,1.124117323E1
5.705152600E-1,-1.442506552E0,2.194285870E0,1.085830307E1,1.117132316E1
5.730273430E-1,-1.499967337E0,2.285265446E0,1.070986271E1,1.105321218E1
5.755393750E-1,-1.557428241E0,2.371456861E0,1.056621075E1,1.094048445E1
5.780513540E-1,-1.610100627E0,2.428917646E0,1.045128918E1,1.084995440E1
5.805633330E-1,-1.657984734E0,2.457648039E0,1.033636761E1,1.075311316E1
5.830753120E-1,-1.710657120E0,2.486378431E0,1.021665764E1,1.065309902E1
5.855872910E-1,-1.739387512E0,2.519897223E0,1.006821632E1,1.052351324E1
5.880992710E-1,-1.763329506E0,2.534262419E0,9.919775963E0,1.038911797E1
5.906112500E-1,-1.796848416E0,2.558204412E0,9.790489197E0,1.027748767E1
5.931232290E-1,-1.806425214E0,2.567781210E0,9.685144424E0,1.018129142E1
5.956352600E-1,-1.811213613E0,2.567781210E0,9.603741646E0,1.010474387E1
5.981473960E-1,-1.820790410E0,2.567781210E0,9.541492462E0,1.004733081E1
6.006596870E-1,-1.801636815E0,2.558204412E0,9.498396873E0,1.000049240E1
6.031721350E-1,-1.787271619E0,2.553416014E0,9.479243279E0,9.978493188E0
6.056847390E-1,-1.753752708E0,2.548627615E0,9.455301285E0,9.948561387E0
6.081975520E-1,-1.748964310E0,2.519897223E0,9.460089684E0,9.944951231E0
6.107105730E-1,-1.734599113E0,2.500743628E0,9.436147690E0,9.914808924E0
6.132238020E-1,-1.701080322E0,2.491166830E0,9.445724487E0,9.915709633E0
6.157371870E-1,-1.667561531E0,2.457648039E0,9.450512886E0,9.906209626E0
6.182507290E-1,-1.634042621E0,2.448071241E0,9.431359291E0,9.879963875E0
6.207643750E-1,-1.576581836E0,2.443282843E0,9.407417297E0,9.846559884E0
6.232781250E-1,-1.552639842E0,2.424129248E0,9.383475304E0,9.815126177E0
6.257919270E-1,-1.509544134E0,2.409764051E0,9.378686905E0,9.800278279E0
6.283053120E-1,-1.476025343E0,2.404975653E0,9.354744911E0,9.771070108E0
6.308173960E-1,-1.466448545E0,2.385822058E0,9.345168114E0,9.755756521E0
6.333294790E-1,-1.437718153E0,2.361880064E0,9.335591316E0,9.736466307E0
6.358415620E-1,-1.413776159E0,2.352303267E0,9.340379715E0,9.735234302E0
6.383536460E-1,-1.408987641E0,2.347514868E0,9.340379715E0,9.733384070E0
6.408657290E-1,-1.408987641E0,2.342726469E0,9.359533310E0,9.750614199E0
6.433778120E-1,-1.399410844E0,2.318784237E0,9.359533310E0,9.743509369E0
