"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.811240200E-1,3.483563364E-1,-1.233013868E-1,1.163881302E1,1.164467792E1
6.836373540E-1,3.292027414E-1,-2.047042400E-1,1.172500420E1,1.173141090E1
6.861506870E-1,2.908954918E-1,-1.951274425E-1,1.174415779E1,1.174938029E1
6.886638640E-1,2.477998734E-1,-1.663970202E-1,1.170585060E1,1.170965546E1
6.911770410E-1,1.280897856E-1,-7.541735470E-2,1.167233181E1,1.167327823E1
6.936902180E-1,3.591302549E-3,5.865794048E-2,1.173458099E1,1.173472815E1
6.962031350E-1,-1.687912196E-1,2.118868530E-1,1.183034897E1,1.183345018E1
6.987158950E-1,-3.411737382E-1,3.746925592E-1,1.184471416E1,1.185554924E1
7.012283430E-1,-5.279214978E-1,5.853823423E-1,1.179683018E1,1.182313731E1
7.037407390E-1,-7.529764175E-1,7.960720658E-1,1.177767658E1,1.182854048E1
7.062531350E-1,-9.876081944E-1,1.025915384E0,1.178246498E1,1.186820767E1
7.087655310E-1,-1.246181965E0,1.270123959E0,1.186386776E1,1.199656378E1
7.112779270E-1,-1.346738458E0,1.509544134E0,1.211286449E1,1.228063167E1
7.137903750E-1,-1.332373261E0,1.562216640E0,1.235228539E1,1.252176879E1
7.163028750E-1,-1.236605167E0,1.466448545E0,1.226130581E1,1.241045059E1
7.188154270E-1,-1.112106681E0,1.246181965E0,1.174894619E1,1.186707577E1
7.213280310E-1,-8.918401599E-1,9.445125461E-1,1.098758984E1,1.106411376E1
7.238407390E-1,-5.949591398E-1,6.141127348E-1,1.028848362E1,1.032395302E1
7.263535520E-1,-2.885012925E-1,2.980781198E-1,9.895833969E0,9.904524901E0
7.288664680E-1,-5.865794048E-2,7.302315533E-2,9.761758804E0,9.762208156E0
7.313794890E-1,-3.172317147E-1,1.975216419E-1,9.733028412E0,9.740199835E0
7.338926660E-1,-5.327098966E-1,2.741360962E-1,9.713874817E0,9.732332423E0
7.364060000E-1,-8.008604646E-1,4.369418025E-1,9.527127266E0,9.570707893E0
7.389194890E-1,-8.487445116E-1,5.279214978E-1,9.239823341E0,9.293729269E0
7.414331350E-1,-8.583213091E-1,5.853823423E-1,8.918999672E0,8.979306382E0
7.439469370E-1,-8.248024583E-1,6.332663298E-1,8.617330551E0,8.679845112E0
7.464608430E-1,-7.673416734E-1,6.667851806E-1,8.401852608E0,8.463128438E0
7.489748540E-1,-6.907271743E-1,6.811503768E-1,8.234258652E0,8.291205305E0
7.514889160E-1,-6.476315856E-1,6.955155730E-1,8.138489723E0,8.193789328E0
7.540029790E-1,-6.189011335E-1,6.955155730E-1,8.076240540E0,8.129725812E0
7.565170410E-1,-6.093243361E-1,6.907271743E-1,7.994838238E0,8.047721331E0
7.590308950E-1,-6.284779310E-1,6.763619781E-1,7.951742172E0,8.005164184E0
7.615441250E-1,-6.236895323E-1,6.236895323E-1,7.913434982E0,7.962438727E0
7.640573540E-1,-5.758054852E-1,6.045359373E-1,7.918223381E0,7.962115119E0
7.665705830E-1,-5.135562420E-1,5.901707411E-1,7.946953773E0,7.985368858E0
7.690838120E-1,-4.560954273E-1,5.853823423E-1,8.023568153E0,8.057812447E0
7.715970410E-1,-3.986345828E-1,6.045359373E-1,8.119336128E0,8.151563800E0
7.741102700E-1,-3.555389643E-1,6.236895323E-1,8.195950508E0,8.227332576E0
7.766235000E-1,-3.363853395E-1,6.428431273E-1,8.272565842E0,8.304321043E0
7.791367290E-1,-2.693476975E-1,6.811503768E-1,8.401852608E0,8.433720487E0
7.816499580E-1,-1.256955862E-1,7.433996201E-1,8.670002937E0,8.702723327E0
7.841631870E-1,-8.259996027E-2,8.343793154E-1,8.942941666E0,8.982161056E0
7.866764160E-1,-1.783680320E-1,1.045069098E0,9.187150002E0,9.248119253E0
7.891896450E-1,-3.986345828E-1,1.303642869E0,9.378686905E0,9.477244448E0
7.917029270E-1,-5.901707411E-1,1.528697729E0,9.431359291E0,9.572656702E0
7.942162600E-1,-7.290344238E-1,1.634042621E0,9.335591316E0,9.505516909E0
7.967296450E-1,-7.577648163E-1,1.648407817E0,9.172784805E0,9.350477899E0
7.992430830E-1,-6.907271743E-1,1.634042621E0,9.067440033E0,9.239354310E0
8.017565720E-1,-5.901707411E-1,1.581370234E0,9.029132843E0,9.185546974E0
8.042701140E-1,-4.513070285E-1,1.514332533E0,9.053074837E0,9.189942603E0
8.067836560E-1,-3.363853395E-1,1.428141356E0,9.201516151E0,9.317759511E0
8.092971970E-1,-2.262520641E-1,1.365892053E0,9.306860924E0,9.409277940E0
8.118107390E-1,-1.783680320E-1,1.365892053E0,9.393052101E0,9.493519054E0
8.143242810E-1,-1.879448295E-1,1.365892053E0,9.460089684E0,9.560035626E0
8.168378220E-1,-1.927332431E-1,1.370680451E0,9.479243279E0,9.579768480E0
8.193513640E-1,-1.927332431E-1,1.413776159E0,9.474454880E0,9.581294505E0
8.218647500E-1,-1.927332431E-1,1.461660147E0,9.469666481E0,9.583745601E0
8.243779790E-1,-2.166752517E-1,1.543063045E0,9.484031677E0,9.611183516E0
8.268912080E-1,-2.358288616E-1,1.638831019E0,9.455301285E0,9.599172087E0
8.294044370E-1,-2.501940727E-1,1.677138329E0,9.412205696E0,9.563733900E0
8.319176660E-1,-2.789244950E-1,1.739387512E0,9.349956512E0,9.514460288E0
8.344308950E-1,-3.076549172E-1,1.777694821E0,9.287707329E0,9.461308464E0
8.369441250E-1,-2.932897210E-1,1.830367208E0,9.230246544E0,9.414548010E0
8.394574060E-1,-4.177882075E-1,1.935712099E0,9.196727753E0,9.407514532E0
8.419707390E-1,-6.236895323E-1,2.012326479E0,9.091382027E0,9.332291982E0
8.444841250E-1,-8.391677141E-1,2.079364061E0,9.019556046E0,9.294102894E0
8.469975620E-1,-1.006761789E0,2.098517895E0,8.966883659E0,9.264035256E0
8.495110520E-1,-1.083376288E0,2.093729496E0,8.947730064E0,9.253068717E0
8.520245930E-1,-1.126471877E0,2.036268473E0,8.938153267E0,9.236119965E0
