"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.946244390E-1,-1.576581836E0,2.950853586E0,8.737040520E0,9.355694748E0
2.971377200E-1,-1.552639842E0,2.931699991E0,8.765770912E0,9.372528741E0
2.996510540E-1,-1.533486247E0,2.922123194E0,8.751405716E0,9.352939967E0
3.021644390E-1,-1.514332533E0,2.917334795E0,8.760982513E0,9.357289133E0
3.046778770E-1,-1.471236944E0,2.898181200E0,8.789712906E0,9.371395061E0
3.071913140E-1,-1.399410844E0,2.855085611E0,8.823231697E0,9.378660999E0
3.097047520E-1,-1.341950059E0,2.816778183E0,8.832808495E0,9.367687825E0
3.122181890E-1,-1.303642869E0,2.692279816E0,8.741828918E0,9.239449560E0
3.147316270E-1,-1.236605167E0,2.601300240E0,8.708310127E0,9.172274557E0
3.172447520E-1,-1.126471877E0,2.591723442E0,8.851962090E0,9.292104289E0
3.197573040E-1,-1.040280581E0,2.548627615E0,9.019556046E0,9.430274528E0
3.222698560E-1,-1.035492182E0,2.519897223E0,9.115324020E0,9.513740488E0
3.247824080E-1,-1.059434295E0,2.515108824E0,9.139266014E0,9.538047845E0
3.272947000E-1,-1.073799491E0,2.467224836E0,8.828020096E0,9.228985998E0
3.298069910E-1,-1.030703783E0,2.519897223E0,8.713098526E0,9.128544146E0
3.323192830E-1,-1.006761789E0,2.615665436E0,9.000402451E0,9.426691851E0
3.348315750E-1,-9.876081944E-1,2.634819031E0,9.383475304E0,9.796287564E0
3.373438660E-1,-9.971849918E-1,2.653972626E0,9.608530045E0,1.001807358E1
3.398561580E-1,-9.923965931E-1,2.663549423E0,9.661202431E0,1.007065931E1
3.423684500E-1,-9.923965931E-1,2.682703018E0,9.594164848E0,1.001148069E1
3.448807410E-1,-9.876081944E-1,2.673126221E0,9.541492462E0,9.957964257E0
3.473930850E-1,-9.971849918E-1,2.663549423E0,9.416994095E0,9.837105836E0
3.499054810E-1,-9.876081944E-1,2.658761024E0,9.215881348E0,9.642450370E0
3.524179810E-1,-9.828197956E-1,2.663549423E0,9.038709641E0,9.474106937E0
3.549305850E-1,-1.011550188E0,2.682703018E0,8.899846077E0,9.350261465E0
3.574432930E-1,-1.054645896E0,2.706645012E0,8.746617317E0,9.216372371E0
3.599561060E-1,-1.112106681E0,2.744952202E0,8.674791336E0,9.166435980E0
3.624690750E-1,-1.183932781E0,2.701856613E0,8.516774178E0,9.013166390E0
3.649822000E-1,-1.188721180E0,2.721010208E0,8.421006203E0,8.929182497E0
3.674954290E-1,-1.159990668E0,2.749740601E0,8.483255386E0,8.992901293E0
3.700087620E-1,-1.121683478E0,2.740163803E0,8.579023361E0,9.075588869E0
3.725222000E-1,-1.078587890E0,2.716221809E0,8.650849342E0,9.131177750E0
3.750357410E-1,-1.040280581E0,2.639607430E0,8.717886925E0,9.167947617E0
3.775493870E-1,-9.732429981E-1,2.524685621E0,8.780136108E0,9.187601945E0
3.800631370E-1,-9.157821536E-1,2.419340849E0,8.818443298E0,9.190038591E0
3.825769390E-1,-8.678981066E-1,2.309207439E0,8.851962090E0,9.189282831E0
3.850907410E-1,-8.152256608E-1,2.184709072E0,8.890269279E0,9.190997469E0
3.876045430E-1,-7.960720658E-1,2.103306293E0,8.923788071E0,9.202805096E0
3.901183450E-1,-7.721300721E-1,2.031480074E0,8.947730064E0,9.207875403E0
3.926321480E-1,-7.721300721E-1,1.988384485E0,8.995614052E0,9.245048939E0
3.951457410E-1,-7.912836671E-1,1.964442492E0,9.067440033E0,9.311478556E0
3.976590230E-1,-8.391677141E-1,1.940500498E0,9.115324020E0,9.357290026E0
4.001723040E-1,-8.726865053E-1,1.935712099E0,9.172784805E0,9.415335584E0
4.026855850E-1,-8.870517015E-1,1.945288897E0,9.201516151E0,9.446634803E0
4.051988660E-1,-9.445125461E-1,1.974019289E0,9.215881348E0,9.472134137E0
4.077121480E-1,-9.876081944E-1,1.997961283E0,9.268553734E0,9.532749213E0
4.102254290E-1,-1.001973391E0,2.017114878E0,9.354744911E0,9.622055677E0
4.127387100E-1,-1.035492182E0,2.021903276E0,9.436147690E0,9.705731304E0
4.152519910E-1,-1.073799491E0,1.997961283E0,9.450512886E0,9.718903665E0
4.177651160E-1,-1.083376288E0,2.007538080E0,9.460089684E0,9.731249157E0
4.202779810E-1,-1.121683478E0,2.002749681E0,9.546280861E0,9.818383695E0
4.227908450E-1,-1.126471877E0,2.017114878E0,9.589376450E0,9.863763583E0
4.253037100E-1,-1.164779186E0,2.002749681E0,9.622895241E0,9.897869955E0
4.278165750E-1,-1.207874775E0,1.997961283E0,9.560646057E0,9.841583398E0
4.303294390E-1,-1.241393566E0,1.988384485E0,9.517550468E0,9.801963975E0
4.328423040E-1,-1.255758762E0,1.983596087E0,9.488820076E0,9.774931710E0
4.353552200E-1,-1.308431268E0,1.993172884E0,9.455301285E0,9.751279553E0
4.378681890E-1,-1.341950059E0,2.002749681E0,9.416994095E0,9.720679710E0
4.403812100E-1,-1.389834046E0,1.993172884E0,9.321226120E0,9.632737576E0
4.428942830E-1,-1.408987641E0,2.007538080E0,9.211092949E0,9.532034863E0
4.454074080E-1,-1.423352957E0,2.064998865E0,9.249400139E0,9.583400069E0
4.479205850E-1,-1.423352957E0,2.103306293E0,9.297284126E0,9.637910724E0
4.504338140E-1,-1.428141356E0,2.108094692E0,9.316437721E0,9.658139716E0
4.529470950E-1,-1.432929754E0,2.122459888E0,9.273342133E0,9.620446869E0
4.554604290E-1,-1.408987641E0,2.093729496E0,9.148842812E0,9.490536032E0
4.579738140E-1,-1.385045648E0,2.041056871E0,9.081805229E0,9.410815630E0
4.604872000E-1,-1.313219666E0,2.045845270E0,9.201516151E0,9.517243732E0
4.630005850E-1,-1.241393566E0,2.060210466E0,9.364321709E0,9.668301103E0
4.655132930E-1,-1.179144382E0,2.050633669E0,9.469666481E0,9.760638462E0
4.680253250E-1,-1.159990668E0,2.017114878E0,9.527127266E0,9.807164969E0
4.705373040E-1,-1.169567585E0,1.978807688E0,9.503185272E0,9.777223457E0
4.730492830E-1,-1.207874775E0,1.930923700E0,9.484031677E0,9.753680570E0
4.755612620E-1,-1.169567585E0,1.940500498E0,9.661202431E0,9.923319149E0
4.780732930E-1,-1.116895080E0,1.959654093E0,9.847949982E0,1.010296083E1
4.805854290E-1,-1.092953086E0,1.945288897E0,9.938929558E0,1.018631514E1
4.830977200E-1,-1.073799491E0,1.959654093E0,9.977236748E0,1.022440916E1
4.856101680E-1,-1.064222693E0,1.954865694E0,9.977236748E0,1.022249103E1
4.881228250E-1,-1.069011092E0,1.926135302E0,9.982025146E0,1.022221150E1
4.906356890E-1,-1.069011092E0,1.873462796E0,9.934141159E0,1.016561893E1
4.931487620E-1,-1.035492182E0,1.835155606E0,9.919775963E0,1.014110425E1
4.956619910E-1,-9.780313969E-1,1.863885999E0,1.011610031E1,1.033276836E1
4.981753770E-1,-9.109937549E-1,1.859097600E0,1.022144604E1,1.042900343E1
5.006888660E-1,-8.870517015E-1,1.830367208E0,1.023102283E1,1.043124792E1
5.032024600E-1,-9.205705523E-1,1.825578809E0,1.017835045E1,1.038166682E1
5.057161060E-1,-9.780313969E-1,1.825578809E0,1.011131191E1,1.032123597E1
5.082297520E-1,-1.064222693E0,1.801636815E0,1.007300472E1,1.028804594E1
5.107433980E-1,-1.131260276E0,1.772906303E0,1.002512074E1,1.024333892E1
5.132562620E-1,-1.207874775E0,1.758541107E0,9.977236748E0,1.020277812E1
5.157691270E-1,-1.313219666E0,1.758541107E0,9.910199165E0,1.015032316E1
5.182819910E-1,-1.428141356E0,1.734599113E0,9.804854393E0,1.005900549E1
5.207948560E-1,-1.571793437E0,1.696291924E0,9.575011253E0,9.850318848E0
5.233075640E-1,-1.696291924E0,1.634042621E0,9.287707329E0,9.581701780E0
5.258200120E-1,-1.763329506E0,1.662773132E0,9.335591316E0,9.645071833E0
5.283321480E-1,-1.777694821E0,1.662773132E0,9.570222855E0,9.874926777E0
5.308442830E-1,-1.849520802E0,1.657984734E0,9.771335602E0,1.008209502E1
5.333564180E-1,-1.964442492E0,1.657984734E0,9.843161583E0,1.017328745E1
5.358685540E-1,-2.074575663E0,1.619677424E0,9.785700798E0,1.013346729E1
5.383807410E-1,-2.194285870E0,1.586158633E0,9.637260437E0,1.001037354E1
5.408929810E-1,-2.309207439E0,1.456871748E0,9.383475304E0,9.772641560E0
5.434052730E-1,-2.347514868E0,1.428141356E0,9.263765335E0,9.662699518E0
5.459176160E-1,-2.357091665E0,1.471236944E0,9.383475304E0,9.786216227E0
5.484300120E-1,-2.361880064E0,1.423352957E0,9.512762070E0,9.904395654E0
5.509424600E-1,-2.381033659E0,1.413776159E0,9.618106842E0,1.000879931E1
5.534549600E-1,-2.400187254E0,1.471236944E0,9.785700798E0,1.018260169E1
5.559675120E-1,-2.385822058E0,1.413776159E0,9.843161583E0,1.022637472E1
5.584801160E-1,-2.371456861E0,1.265335560E0,9.689932823E0,1.005582815E1
5.609928250E-1,-2.294842243E0,1.231816769E0,9.699509621E0,1.004311507E1
5.635056370E-1,-2.175132275E0,1.227028370E0,9.824007988E0,1.013646546E1
5.660185540E-1,-2.002749681E0,1.217451572E0,9.962871552E0,1.023484265E1
5.685315750E-1,-1.772906303E0,1.203086376E0,1.008258152E1,1.030771865E1
5.710447520E-1,-1.595735431E0,1.136048675E0,1.008258152E1,1.027109674E1
5.735580850E-1,-1.461660147E0,1.073799491E0,1.008258152E1,1.024441047E1
5.760715750E-1,-1.313219666E0,1.078587890E0,1.020229244E1,1.034285593E1
5.785851680E-1,-1.179144382E0,1.092953086E0,1.033636761E1,1.046066075E1
5.810988660E-1,-1.059434295E0,1.136048675E0,1.052790356E1,1.064188709E1
5.836126160E-1,-9.876081944E-1,1.169567585E0,1.070507431E1,1.081396663E1
5.861263660E-1,-9.828197956E-1,1.164779186E0,1.080084229E1,1.090783385E1
5.886401160E-1,-1.025915384E0,1.164779186E0,1.077211189E1,1.088336380E1
5.911534500E-1,-1.069011092E0,1.102529883E0,1.073380470E1,1.084310473E1
5.936663140E-1,-1.145625472E0,1.078587890E0,1.071465111E1,1.082956869E1
5.961791790E-1,-1.250970364E0,1.092953086E0,1.071943951E1,1.084738939E1
5.986920430E-1,-1.365892053E0,1.150413871E0,1.069070911E1,1.083883640E1
6.012049080E-1,-1.341950059E0,1.088164687E0,1.073859310E1,1.087668673E1
6.037177730E-1,-1.255758762E0,1.021126986E0,1.073380470E1,1.085514596E1
6.062306370E-1,-1.308431268E0,9.014169574E-1,1.044650078E1,1.056664201E1
6.087435540E-1,-1.346738458E0,8.295909166E-1,1.022144604E1,1.034310808E1
6.112565230E-1,-1.279700756E0,8.966285586E-1,1.036988640E1,1.048695002E1
6.137695430E-1,-1.174355984E0,9.253589511E-1,1.041298199E1,1.051977162E1
6.162826160E-1,-1.159990668E0,8.774749041E-1,1.017835045E1,1.028174880E1
6.187957410E-1,-1.236605167E0,6.619967818E-1,9.680356026E0,9.781447994E0
6.213089180E-1,-1.035492182E0,6.715735793E-1,9.517550468E0,9.597240335E0
6.238220950E-1,-9.493009448E-1,6.428431273E-1,9.455301285E0,9.524554685E0
6.263352730E-1,-1.035492182E0,6.236895323E-1,9.450512886E0,9.527508935E0
6.288484500E-1,-1.155202270E0,5.758054852E-1,9.479243279E0,9.566718213E0
6.313614700E-1,-1.183932781E0,5.422866940E-1,9.555857658E0,9.644178932E0
6.338744910E-1,-1.140837073E0,5.374982953E-1,9.642048836E0,9.724171913E0
6.363875120E-1,-1.107318282E0,5.901707411E-1,9.795277596E0,9.875318651E0
6.388996480E-1,-1.097741485E0,6.476315856E-1,9.986813545E0,1.006781544E1
6.414117830E-1,-1.073799491E0,7.242460251E-1,1.022144604E1,1.030318090E1
6.439239180E-1,-1.035492182E0,7.003039718E-1,1.032679081E1,1.040217661E1
6.464361060E-1,-1.040280581E0,6.189011335E-1,1.025496483E1,1.032615737E1
6.489483450E-1,-9.780313969E-1,6.284779310E-1,1.029806042E1,1.036347327E1
6.514606890E-1,-9.062053561E-1,6.236895323E-1,1.023581123E1,1.029475733E1
6.539731370E-1,-8.774749041E-1,5.662286878E-1,1.015440750E1,1.020796595E1
6.564857410E-1,-8.391677141E-1,4.944026470E-1,1.020229244E1,1.024867833E1
6.589985020E-1,-8.152256608E-1,4.417302012E-1,1.028369522E1,1.032541069E1
6.615114700E-1,-7.864952683E-1,3.746925592E-1,1.034594440E1,1.038255917E1
6.640246480E-1,-7.146692276E-1,2.645592988E-1,1.051353836E1,1.054112103E1
6.665379810E-1,-6.284779310E-1,1.400607973E-1,1.066676712E1,1.068618371E1
6.690514700E-1,-5.279214978E-1,1.197100850E-3,1.078168869E1,1.079460576E1
6.715651160E-1,-4.560954273E-1,-1.089361757E-1,1.078168869E1,1.079188126E1
6.740788660E-1,-3.507505357E-1,-2.238578647E-1,1.074816990E1,1.075622120E1
6.765927200E-1,-2.358288616E-1,-1.807622313E-1,1.116954994E1,1.117350152E1
6.791066270E-1,-2.118868530E-1,-3.711012751E-2,1.176809978E1,1.177006566E1
6.816205850E-1,-2.597708702E-1,6.823474914E-2,1.198836613E1,1.199137437E1
6.841345430E-1,-3.076549172E-1,8.738835901E-2,1.192611694E1,1.193040459E1
6.866485020E-1,-3.842693865E-1,4.429273307E-2,1.161008263E1,1.161652458E1
6.891619390E-1,-4.560954273E-1,-8.020575345E-2,1.102110863E1,1.103083367E1
6.916752200E-1,-4.513070285E-1,-1.759738177E-1,1.047523117E1,1.048642517E1
6.941885020E-1,-4.177882075E-1,-2.477998734E-1,1.020229244E1,1.021384956E1
6.967017830E-1,-3.315969408E-1,-3.292027414E-1,1.012088871E1,1.013166912E1
6.992150640E-1,-2.454056740E-1,-3.531447649E-1,1.023581123E1,1.024484098E1
7.017279810E-1,-4.225766063E-1,1.352723986E-1,1.022144604E1,1.023107173E1
7.042408980E-1,-5.231330991E-1,4.177882075E-1,1.034594440E1,1.036758317E1
7.067538140E-1,-5.662286878E-1,4.465186298E-1,1.057099915E1,1.059556590E1
7.092667310E-1,-6.332663298E-1,4.273650050E-1,1.073380470E1,1.076095862E1
7.117797000E-1,-6.715735793E-1,3.938461840E-1,1.086309147E1,1.089095414E1
7.142927200E-1,-7.242460251E-1,3.507505357E-1,1.091097546E1,1.094060984E1
7.168057930E-1,-8.008604646E-1,3.363853395E-1,1.095885944E1,1.099323123E1
7.193189180E-1,-8.583213091E-1,2.837128937E-1,1.102589703E1,1.106289355E1
7.218320950E-1,-9.349357486E-1,2.501940727E-1,1.104505062E1,1.108737323E1
7.243453770E-1,-9.923965931E-1,2.549824715E-1,1.108335781E1,1.113061936E1
7.268587620E-1,-1.040280581E0,2.454056740E-1,1.105941582E1,1.111094442E1
7.293722520E-1,-1.121683478E0,2.789244950E-1,1.100195503E1,1.106250366E1
7.318857930E-1,-1.116895080E0,2.741360962E-1,1.091576385E1,1.097617901E1
7.343993870E-1,-1.054645896E0,2.645592988E-1,1.080084229E1,1.085543475E1
7.369130330E-1,-1.045069098E0,2.932897210E-1,1.069549751E1,1.075043512E1
7.394267310E-1,-1.083376288E0,2.932897210E-1,1.057578754E1,1.063517772E1
7.419404290E-1,-1.078587890E0,3.603273630E-1,1.049438477E1,1.055581827E1
7.444541270E-1,-1.116895080E0,3.746925592E-1,1.041298199E1,1.047941043E1
7.469667830E-1,-1.092953086E0,3.890577853E-1,1.027890682E1,1.034416927E1
7.494793870E-1,-1.035492182E0,4.034229815E-1,1.018792725E1,1.024835868E1
7.519918870E-1,-1.030703783E0,3.938461840E-1,1.004906273E1,1.010945730E1
7.545043870E-1,-1.001973391E0,3.842693865E-1,9.895833969E0,9.953850691E0
7.570169390E-1,-8.248024583E-1,3.603273630E-1,9.809642792E0,9.850849030E0
7.595295430E-1,-8.104372621E-1,2.549824715E-1,9.771335602E0,9.808201877E0
7.620422520E-1,-7.769184709E-1,1.831564307E-1,9.838373184E0,9.870700862E0
7.645550640E-1,-5.949591398E-1,9.217676520E-2,9.938929558E0,9.957147869E0
7.670679810E-1,-5.374982953E-1,-9.457096457E-2,9.996390343E0,1.001127704E1
7.695810020E-1,-3.842693865E-1,-2.094926536E-1,1.005385113E1,1.006337283E1
7.720941270E-1,-1.400607973E-1,-3.292027414E-1,1.013525391E1,1.014156611E1
7.746074080E-1,-1.065419763E-1,-4.776432514E-1,1.010173512E1,1.011358228E1
7.771207930E-1,6.105214357E-2,-5.303156972E-1,1.015440750E1,1.016842927E1
7.796342830E-1,2.142810524E-1,-5.686228871E-1,1.017835045E1,1.019647322E1
7.821478250E-1,1.903390288E-1,-6.643909812E-1,1.009215832E1,1.011579477E1
7.846614180E-1,2.382230759E-1,-6.787561774E-1,1.009694672E1,1.012253887E1
7.871750120E-1,2.861070931E-1,-6.643909812E-1,1.008258152E1,1.010849755E1
7.896886060E-1,2.525882721E-1,-6.596025825E-1,1.008258152E1,1.010729076E1
7.922014700E-1,1.663970202E-1,-6.021417379E-1,1.009215832E1,1.011147478E1
7.947143350E-1,6.105214357E-2,-4.920084476E-1,1.003948593E1,1.005172012E1
7.972272000E-1,-4.429273307E-2,-3.531447649E-1,9.982025146E0,9.988368190E0
7.997400640E-1,-1.592144072E-1,-2.382230759E-1,1.000596714E1,1.001006882E1
8.022529290E-1,-2.789244950E-1,-1.328781992E-1,1.010652351E1,1.011124488E1
8.047657930E-1,-4.082113802E-1,1.077390742E-2,1.033157921E1,1.033964610E1
8.072786580E-1,-6.141127348E-1,1.831564307E-1,1.059015274E1,1.060952477E1
8.097915750E-1,-8.248024583E-1,3.363853395E-1,1.075295830E1,1.078978991E1
8.123045430E-1,-1.025915384E0,5.087678432E-1,1.087266827E1,1.093280670E1
8.148175640E-1,-1.198297977E0,6.667851806E-1,1.099716663E1,1.108233705E1
8.173306370E-1,-1.370680451E0,8.200140595E-1,1.116476154E1,1.127843466E1
8.198437620E-1,-1.495178938E0,9.971849918E-1,1.133235550E1,1.147398009E1
