timestamp_ms,az,label
10520,9.92,stairs
10540,9.18,stairs
10560,9.84,stairs
10580,9.7,stairs
10600,9.36,stairs
10620,9.81,stairs
10640,9.62,stairs
10660,9.28,stairs
10680,9.78,stairs
10700,9.38,stairs
10720,9.25,stairs
10740,9.28,stairs
10760,9.76,stairs
10780,8.98,stairs
10800,9.61,stairs
10820,9.72,stairs
10840,8.78,stairs
10860,10.03,stairs
10880,9.57,stairs
10900,8.66,stairs
10920,10.19,stairs
10940,9.69,stairs
10960,10.29,stairs
10980,9.56,stairs
11000,8.81,stairs
11020,8.77,stairs
11040,9.41,stairs
11060,10.4,stairs
11080,8.38,stairs
11100,10.88,stairs
11120,9.48,stairs
11140,9.75,stairs
11160,8.32,stairs
11180,11.27,stairs
11200,9.91,stairs
11220,11.45,stairs
11240,8.35,stairs
11260,10.16,stairs
11280,8.66,stairs
11300,11.41,stairs
11320,10.51,stairs
11340,8.99,stairs
11360,11.37,stairs
11380,9.31,stairs
11400,10.91,stairs
11420,11.23,stairs
11440,9.37,stairs
11460,11.15,stairs
11480,11.0,stairs
11500,9.66,stairs
11520,11.29,stairs
11540,11.05,stairs
11560,11.17,stairs
11580,9.89,stairs
11600,11.81,stairs
11620,11.23,stairs
11640,10.13,stairs
11660,12.1,stairs
11680,10.36,stairs
11700,12.17,stairs
11720,11.51,stairs
11740,12.05,stairs
11760,11.39,stairs
11780,10.37,stairs
11800,12.1,stairs
11820,11.01,stairs
11840,10.91,stairs
11860,12.25,stairs
11880,10.22,stairs
11900,12.17,stairs
11920,12.4,stairs
11940,9.55,stairs
11960,13.16,stairs
11980,12.62,stairs
12000,9.31,stairs
12020,12.75,stairs
12040,11.89,stairs
12060,9.52,stairs
12080,13.2,stairs
12100,10.01,stairs
12120,12.99,stairs
12140,11.88,stairs
12160,10.55,stairs
12180,12.19,stairs
12200,12.51,stairs
12220,11.71,stairs
12240,12.92,stairs
12260,11.45,stairs
12280,13.4,stairs
12300,11.56,stairs
12320,11.6,stairs
12340,13.41,stairs
12360,11.39,stairs
12380,10.7,stairs
12400,13.15,stairs
12420,9.94,stairs
12440,11.3,stairs
12460,12.34,stairs
12480,11.07,stairs
12500,9.53,stairs
12520,9.2,stairs
12540,11.2,stairs
12560,10.89,stairs
12580,9.26,stairs
12600,10.68,stairs
12620,10.71,stairs
12640,10.44,stairs
12660,10.57,stairs
12680,9.45,stairs
12700,10.26,stairs
12720,10.06,stairs
12740,9.67,stairs
12760,9.74,stairs
12780,9.87,stairs
12800,9.83,stairs
12820,9.63,stairs
12840,9.84,stairs
12860,9.89,stairs
12880,9.82,stairs
12900,9.67,stairs
12920,10.13,stairs
12940,9.76,stairs
12960,9.46,stairs
12980,10.36,stairs
13000,9.56,stairs
13020,10.63,stairs
13040,9.3,stairs
13060,10.3,stairs
13080,9.25,stairs
13100,9.28,stairs
13120,9.78,stairs
13140,9.34,stairs
13160,9.34,stairs
13180,9.45,stairs
13200,9.44,stairs
13220,9.65,stairs
13240,10.24,stairs
13260,9.26,stairs
13280,9.46,stairs
13300,9.17,stairs
13320,10.64,stairs
13340,8.81,stairs
13360,10.76,stairs
13380,8.21,stairs
13400,9.17,stairs
13420,8.08,stairs
13440,10.77,stairs
13460,9.3,stairs
13480,10.95,stairs
13500,9.31,stairs
13520,8.16,stairs
13540,11.09,stairs
13560,8.33,stairs
13580,8.91,stairs
13600,8.4,stairs
13620,11.28,stairs
13640,8.51,stairs
13660,8.74,stairs
13680,11.8,stairs
13700,8.61,stairs
13720,8.94,stairs
13740,12.5,stairs
13760,9.11,stairs
13780,9.39,stairs
13800,9.1,stairs
13820,13.03,stairs
13840,9.31,stairs
13860,13.15,stairs
13880,9.19,stairs
13900,9.28,stairs
13920,9.28,stairs
13940,12.7,stairs
13960,11.37,stairs
13980,9.25,stairs
14000,9.22,stairs
14020,9.16,stairs
14040,9.27,stairs
14060,9.67,stairs
14080,9.25,stairs
14100,8.95,stairs
14120,9.13,stairs
14140,9.28,stairs
14160,9.15,stairs
14180,9.22,stairs
14200,9.71,stairs
14220,9.47,stairs
14240,9.38,stairs
14260,10.51,stairs
14280,10.12,stairs
14300,9.74,stairs
14320,11.1,stairs
14340,10.11,stairs
14360,11.09,stairs
14380,12.4,stairs
14400,10.92,stairs
14420,10.41,stairs
14440,12.84,stairs
14460,10.72,stairs
14480,10.14,stairs
14500,9.3,stairs
14520,11.38,stairs
14540,12.52,stairs
14560,11.88,stairs
14580,12.12,stairs
14600,8.71,stairs
14620,11.69,stairs
14640,8.33,stairs
14660,11.83,stairs
14680,8.61,stairs
14700,11.7,stairs
14720,11.79,stairs
14740,13.32,stairs
14760,11.87,stairs
14780,9.03,stairs
14800,9.1,stairs
14820,15.08,stairs
14840,12.3,stairs
14860,13.05,stairs
14880,9.23,stairs
14900,15.19,stairs
14920,9.64,stairs
14940,12.94,stairs
14960,13.84,stairs
14980,9.87,stairs
15000,11.09,stairs
15020,14.28,stairs
15040,10.28,stairs
15060,10.14,stairs
15080,14.36,stairs
15100,10.23,stairs
15120,9.84,stairs
15140,14.25,stairs
15160,10.01,stairs
15180,12.94,stairs
15200,9.68,stairs
15220,9.77,stairs
15240,11.29,stairs
15260,10.15,stairs
15280,10.97,stairs
15300,10.0,stairs
15320,9.72,stairs
15340,11.05,stairs
15360,9.71,stairs
15380,9.96,stairs
15400,10.02,stairs
15420,10.94,stairs
15440,10.21,stairs
15460,10.64,stairs
15480,10.51,stairs
15500,10.34,stairs
15520,10.25,stairs
15540,11.06,stairs
15560,10.19,stairs
15580,11.68,stairs
15600,10.37,stairs
15620,9.83,stairs
15640,9.68,stairs
15660,10.41,stairs
15680,11.91,stairs
15700,9.46,stairs
15720,11.89,stairs
15740,9.85,stairs
15760,9.79,stairs
15780,11.92,stairs
15800,9.2,stairs
15820,9.52,stairs
15840,12.45,stairs
15860,8.88,stairs
15880,9.4,stairs
15900,12.8,stairs
15920,8.73,stairs
15940,8.66,stairs
15960,9.18,stairs
15980,12.9,stairs
16000,8.96,stairs
16020,8.76,stairs
16040,12.77,stairs
16060,8.8,stairs
16080,8.85,stairs
16100,12.16,stairs
16120,9.17,stairs
16140,11.18,stairs
16160,8.87,stairs
16180,9.96,stairs
16200,8.96,stairs
16220,9.36,stairs
16240,9.05,stairs
16260,9.41,stairs
16280,9.03,stairs
16300,8.61,stairs
16320,9.31,stairs
16340,9.07,stairs
16360,9.52,stairs
16380,9.4,stairs
16400,9.07,stairs
16420,9.26,stairs
16440,8.76,stairs
16460,10.22,stairs
16480,8.69,stairs
16500,11.03,stairs
16520,9.08,stairs
16540,8.97,stairs
16560,8.82,stairs
16580,11.38,stairs
16600,8.86,stairs
16620,9.23,stairs
16640,11.34,stairs
16660,10.95,stairs
16680,9.39,stairs
16700,9.01,stairs
16720,9.28,stairs
16740,9.49,stairs
16760,10.13,stairs
16780,9.45,stairs
16800,9.58,stairs
16820,9.71,stairs
16840,9.26,stairs
16860,9.36,stairs
16880,10.21,stairs
16900,9.21,stairs
16920,9.32,stairs
16940,10.3,stairs
16960,9.57,stairs
16980,9.18,stairs
17000,10.16,stairs
17020,9.87,stairs
17040,9.81,stairs
17060,9.33,stairs
17080,9.78,stairs
17100,9.5,stairs
17120,9.67,stairs
17140,9.7,stairs
17160,9.72,stairs
17180,9.93,stairs
17200,10.05,stairs
17220,10.06,stairs
17240,10.64,stairs
17260,11.87,stairs
17280,10.12,stairs
17300,10.37,stairs
17320,12.8,stairs
17340,10.18,stairs
17360,10.48,stairs
17380,12.62,stairs
17400,10.12,stairs
17420,9.99,stairs
17440,12.01,stairs
17460,10.07,stairs
17480,9.31,stairs
17500,10.05,stairs
17520,9.18,stairs
17540,12.01,stairs
17560,9.29,stairs
17580,12.56,stairs
17600,10.32,stairs
17620,9.66,stairs
17640,13.88,stairs
17660,10.66,stairs
17680,10.31,stairs
17700,14.31,stairs
17720,10.97,stairs
17740,10.76,stairs
17760,11.44,stairs
17780,13.21,stairs
17800,11.58,stairs
17820,12.42,stairs
17840,11.04,stairs
17860,11.59,stairs
17880,12.46,stairs
17900,11.59,stairs
17920,12.64,stairs
17940,12.25,stairs
17960,12.14,stairs
17980,12.84,stairs
18000,12.4,stairs
18020,14.03,stairs
18040,11.79,stairs
18060,15.57,stairs
18080,13.57,stairs
18100,14.94,stairs
18120,14.13,stairs
18140,11.11,stairs
18160,13.64,stairs
18180,14.05,stairs
18200,10.41,stairs
18220,14.03,stairs
18240,13.75,stairs
18260,9.92,stairs
18280,13.03,stairs
18300,9.4,stairs
18320,14.15,stairs
18340,8.8,stairs
18360,13.38,stairs
18380,11.24,stairs
18400,9.17,stairs
18420,12.49,stairs
18440,10.94,stairs
18460,9.32,stairs
18480,11.09,stairs
18500,11.3,stairs
18520,9.33,stairs
18540,11.19,stairs
18560,10.19,stairs
18580,9.4,stairs
18600,9.47,stairs
18620,10.89,stairs
18640,9.25,stairs
18660,10.37,stairs
18680,9.4,stairs
18700,9.84,stairs
18720,10.07,stairs
18740,9.19,stairs
18760,10.18,stairs
18780,9.27,stairs
18800,10.16,stairs
18820,9.82,stairs
18840,9.75,stairs
18860,10.33,stairs
18880,8.99,stairs
18900,10.04,stairs
18920,10.16,stairs
18940,8.73,stairs
18960,9.37,stairs
18980,9.77,stairs
19000,9.55,stairs
19020,8.83,stairs
19040,8.95,stairs
19060,9.41,stairs
19080,8.8,stairs
19100,8.54,stairs
19120,8.7,stairs
19140,8.97,stairs
19160,8.27,stairs
19180,8.06,stairs
19200,8.51,stairs
19220,8.53,stairs
19240,8.57,stairs
19260,8.38,stairs
19280,7.86,stairs
19300,8.85,stairs
19320,8.49,stairs
19340,7.8,stairs
19360,8.77,stairs
19380,8.17,stairs
19400,9.09,stairs
19420,8.69,stairs
19440,9.15,stairs
19460,8.87,stairs
19480,8.2,stairs
19500,9.35,stairs
19520,9.27,stairs
19540,7.98,stairs
19560,9.27,stairs
19580,9.56,stairs
19600,8.33,stairs
19620,9.47,stairs
19640,9.77,stairs
19660,9.33,stairs
19680,9.97,stairs
19700,8.93,stairs
19720,9.07,stairs
19740,9.06,stairs
19760,9.97,stairs
19780,8.34,stairs
19800,9.04,stairs
19820,9.74,stairs
19840,9.62,stairs
19860,9.31,stairs
19880,8.69,stairs
19900,9.79,stairs
19920,9.38,stairs
19940,9.61,stairs
19960,9.29,stairs
19980,9.83,stairs
20000,10.92,stairs
20020,10.16,stairs
20040,11.3,stairs
20060,9.39,stairs
20080,11.61,stairs
20100,10.46,stairs
20120,9.53,stairs
20140,9.83,stairs
20160,11.82,stairs
20180,11.05,stairs
20200,11.82,stairs
20220,10.07,stairs
20240,11.6,stairs
20260,11.72,stairs
20280,12.9,stairs
20300,10.24,stairs
20320,11.77,stairs
20340,14.57,stairs
20360,10.34,stairs
20380,11.72,stairs
20400,10.29,stairs
20420,14.3,stairs
20440,10.26,stairs
20460,13.13,stairs
20480,12.64,stairs
20500,10.19,stairs
20520,11.99,stairs
20540,14.22,stairs
20560,11.85,stairs
20580,14.77,stairs
20600,10.05,stairs
20620,10.06,stairs
20640,14.75,stairs
20660,11.94,stairs
20680,12.33,stairs
20700,14.06,stairs
20720,10.17,stairs
20740,12.72,stairs
20760,12.82,stairs
20780,10.08,stairs
20800,10.1,stairs
20820,12.48,stairs
20840,11.55,stairs
20860,11.86,stairs
20880,10.69,stairs
